case_id,family,variant,expected_decision,required_reasons,schema_version
AOMS-133,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-134,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-135,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-136,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-137,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-138,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-139,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-140,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-141,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-142,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-143,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-144,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-145,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-146,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-147,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-148,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-149,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-150,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-151,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-152,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-153,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-154,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-155,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-156,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-157,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-158,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-159,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-160,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-161,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-162,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-163,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-164,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-165,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-166,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-167,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-168,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-169,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-170,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-171,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-172,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-173,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-174,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-175,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-176,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-177,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-178,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-179,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-180,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-181,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-182,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-183,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-184,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-185,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-186,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-187,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-188,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-189,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-190,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-191,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-192,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-193,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-194,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-195,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-196,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
AOMS-197,REAUTHORIZE,policy-change,REAUTHORIZE,policy_changed,2.0.0
AOMS-198,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-199,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-200,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-201,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-202,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-203,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-204,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-205,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-206,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-207,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-208,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-209,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-210,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-211,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-212,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-213,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-214,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-215,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-216,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-217,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-218,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-219,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-220,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-221,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-222,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-223,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-224,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-225,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-226,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-227,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-228,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-229,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-230,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-231,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-232,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-233,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-234,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-235,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-236,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-237,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-238,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-239,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-240,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-241,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-242,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-243,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-244,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-245,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-246,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-247,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-248,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-249,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-250,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-251,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-252,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-253,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-254,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-255,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-256,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-257,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-258,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-259,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-260,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-261,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-262,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-263,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-264,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-265,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-266,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-267,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-268,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-269,DENY,authority-boundary,DENY,boundary_crossed:authority,2.0.0
AOMS-270,DENY,identity-boundary,DENY,boundary_crossed:identity,2.0.0
AOMS-271,DENY,dependency-change,DENY,dependency_state_changed,2.0.0
AOMS-272,DENY,resource-loss,DENY,resource_unavailable,2.0.0
AOMS-273,DENY,environment-change,DENY,environment_invalid,2.0.0
AOMS-274,DENY,evidence-change,DENY,evidence_insufficient,2.0.0
AOMS-275,DENY,operational-boundary,DENY,boundary_crossed:operational,2.0.0
AOMS-276,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-277,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-278,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-279,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-280,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-281,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-282,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-283,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-284,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-285,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-286,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-287,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-288,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-289,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-290,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-291,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-292,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-293,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-294,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-295,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-296,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-297,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-298,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-299,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-300,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-301,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-302,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-303,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-304,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-305,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-306,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-307,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-308,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-309,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-310,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-311,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-312,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-313,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-314,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-315,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-316,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-317,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-318,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-319,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-320,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-321,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-322,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-323,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-324,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-325,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-326,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-327,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-328,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-329,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-330,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-331,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-332,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-333,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-334,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-335,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-336,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-337,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-338,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-339,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-340,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-341,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-342,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-343,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
AOMS-344,ESCALATE,compound-personal-safety,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-345,ESCALATE,compound-therapeutic-psychological,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-346,ESCALATE,personal-boundary,ESCALATE,boundary_crossed:personal,2.0.0
AOMS-347,ESCALATE,psychological-boundary,ESCALATE,boundary_crossed:psychological,2.0.0
AOMS-348,ESCALATE,therapeutic-boundary,ESCALATE,boundary_crossed:therapeutic,2.0.0
AOMS-349,ESCALATE,safety-boundary,ESCALATE,boundary_crossed:safety,2.0.0
AOMS-350,ESCALATE,unknown-boundary,ESCALATE,boundary_crossed:unknown,2.0.0
