case_id,domain,effect_class,expected_decision,proof_obligation,status
AOMS-B06-046,CIVIC_SYSTEMS,registration update,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-047,CIVIC_SYSTEMS,ballot workflow,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-048,CIVIC_SYSTEMS,tabulation action,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-049,CIVIC_SYSTEMS,certification step,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-050,CIVIC_SYSTEMS,public-record release,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-051,EMERGENCY_RESPONSE,dispatch,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-052,EMERGENCY_RESPONSE,resource allocation,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-053,EMERGENCY_RESPONSE,evacuation notice,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-054,EMERGENCY_RESPONSE,priority override,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-055,EMERGENCY_RESPONSE,interagency handoff,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-056,EMERGENCY_RESPONSE,dispatch,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-057,EMERGENCY_RESPONSE,resource allocation,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-058,EMERGENCY_RESPONSE,evacuation notice,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-059,EMERGENCY_RESPONSE,priority override,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-060,EMERGENCY_RESPONSE,interagency handoff,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
